Valle,Evalle,Cepa,Ecepa,Cosecha,Ecosecha,Dp (mg/L),Cy (mg/L),Pt (mg/L),Pe (mg/L),Mv (mg/L),Peac (mg/L),Mvac (mg/L),Pecu (mg/L),Mvcu (mg/L),logDp (mg/L),logCy (mg/L),logPt (mg/L),logPe (mg/L),logMv (mg/L),logPeac (mg/L),logMvac (mg/L),logPecu (mg/L),logMvcu (mg/L),log Dp %,log Cy %,log Pt %,log Pe %,log Mv %,log Peac %,log Mvac %,log Pecu %,log Mvcu %,F1(1),F1(2),F1(3),F2(1),F2(2),F2(3),F2(4),F3(1),F3(2),F3(3),F3(4),F3(5),F3(6),F3(7)
Maipo,2,Cs,1,2004,4,7.133699548,0.345179161,9.238800663,3.386013345,123.021402,1.842409156,48.32489542,0.894005184,12.23012568,1.964829971,-1.063691689,2.223412079,1.219653225,4.81235834,0.61,3.877946861,-0.112043705,2.503902226,1.240104038,-1.788417621,1.498686146,0.494927292,4.087632408,-0.113651893,3.153220928,-0.836769637,1.779176293,1,0,0,0,0,0,1,0,1,0,0,0,0,0
Maipo,2,Cs,1,2004,4,16.00048194,0.829466868,17.26976202,6.238505882,154.7471528,2.287289793,49.59870484,0.873665297,11.20330529,2.772618843,-0.186972112,2.848957112,1.830740712,5.041792513,0.83,3.903964721,-0.135057932,2.41620885,1.820774364,-1.138816592,1.897112633,0.878896233,4.089948034,-0.124476859,2.952120242,-1.086902411,1.464364371,1,0,0,0,0,0,1,0,1,0,0,0,0,0
Maipo,2,Cs,1,2004,4,3.972028561,0.220739479,6.501632993,1.895160913,111.6899653,1.588523194,55.12497777,0.923848249,14.00570378,1.379276937,-1.510772101,1.872053375,0.639303749,4.715726866,0.46,4.009602931,-0.079207454,2.63946466,0.70672754,-2.183321497,1.199503979,-0.033245647,4.043177469,-0.20974462,3.337053534,-0.75175685,1.966915263,1,0,0,0,0,0,1,0,1,0,0,0,0,0
Maipo,2,Cs,1,2004,4,9.35722307,0.691560842,10.79826688,5.112522109,126.0963466,1.17643811,27.25299694,0.416506799,6.761751467,2.236148566,-0.368804146,2.379385647,1.631692846,4.83704627,0.16,3.305163495,-0.875852493,1.911281949,1.606667685,-0.998285027,1.749904766,1.002211965,4.20756539,-0.466989558,2.675682614,-1.505333375,1.281801069,1,0,0,0,0,0,1,0,1,0,0,0,0,0
Maipo,2,Cs,1,2004,4,9.326462909,0.566742156,10.73248393,4.602859843,123.4219719,1.512001797,33.78671427,0.349998596,6.775905633,2.232855834,-0.56785083,2.373275024,1.526677815,4.81560915,0.41,3.520067656,-1.049826136,1.913373031,1.58535926,-1.215347404,1.72577845,0.879181242,4.168112577,-0.234062107,2.872571083,-1.697322709,1.265876457,1,0,0,0,0,0,1,0,1,0,0,0,0,0
Maipo,2,Cs,1,2004,4,9.274216491,0.499620996,10.9334918,4.643506864,130.5789358,1.832569086,42.13815402,0.570541555,8.564079769,2.22723813,-0.693905476,2.391830721,1.53546987,4.871977916,0.61,3.740953602,-0.561169273,2.147576685,1.489906057,-1.431237549,1.654498648,0.798137798,4.134645843,-0.131613218,3.003621529,-1.298501346,1.410244612,1,0,0,0,0,0,1,0,1,0,0,0,0,0
Maipo,2,Cs,1,2004,4,10.81128403,1.246324596,10.64587447,5.764025492,92.81651054,1.357494455,25.99103024,0.523732208,6.508801318,2.380590406,0.220198897,2.365172443,1.751636101,4.530624539,0.31,3.257751488,-0.646774779,1.87315531,1.938053833,-0.222337676,1.92263587,1.309099527,4.088087966,-0.136895885,2.815214914,-1.089311352,1.430618737,1,0,0,0,0,0,1,0,1,0,0,0,0,0
Maipo,2,Cs,1,2004,4,7.450275597,0.557898726,9.255659327,3.579572146,111.9600548,1.469333421,36.85923975,0.378115086,6.861471659,2.008251025,-0.583577828,2.225235184,1.275243281,4.718142154,0.38,3.607106327,-0.972556669,1.925921946,1.429552081,-1.162276771,1.64653624,0.696544337,4.139443211,-0.193890101,3.028407383,-1.551255613,1.347223002,1,0,0,0,0,0,1,0,1,0,0,0,0,0
Maipo,2,Cs,1,2004,4,18.32014617,1.175212196,17.47494362,6.869295052,142.4395465,2.093567224,44.37415192,0.658971168,8.057950196,2.908001338,0.161448724,2.860768062,1.927061488,4.958917675,0.74,3.792657136,-0.417075497,2.086659206,2.026452025,-0.72010059,1.979218748,1.045512175,4.077368361,-0.142679897,2.911107823,-1.298624811,1.205109893,1,0,0,0,0,0,1,0,1,0,0,0,0,0
Maipo,2,Cs,1,2004,4,12.59286069,0.63803236,15.03456424,5.955422566,154.7003668,2.086656248,51.32110538,0.912492163,12.79537989,2.533130041,-0.449366276,2.710351833,1.78430216,5.041490129,0.74,3.938102078,-0.091575782,2.54908416,1.592978729,-1.389517587,1.770200521,0.844150848,4.101338817,-0.204588409,2.997950766,-1.031727095,1.608932848,1,0,0,0,0,0,1,0,1,0,0,0,0,0
