j,var1,var2,y1,y2,f
1,1,2,3.9191919191919196,-4.0,1.42663033773588e-5
1,1,2,4.0,-4.0,1.3672588161678351e-5
1,1,2,-4.0,-3.9191919191919196,1.5163305216725314e-5
1,1,2,-3.9191919191919196,-3.9191919191919196,1.629296283569241e-5
1,1,2,-3.8383838383838382,-3.9191919191919196,1.7526096632729374e-5
1,1,2,-3.757575757575758,-3.9191919191919196,1.8874625036379132e-5
1,1,2,-3.6767676767676765,-3.9191919191919196,2.0351884546511197e-5
1,1,2,-3.595959595959596,-3.9191919191919196,2.1972689309228734e-5
1,1,2,-3.5151515151515156,-3.9191919191919196,2.3753495190610045e-5
1,1,2,-3.4343434343434343,-3.9191919191919196,2.57127133602636e-5
1,1,2,-3.353535353535354,-3.9191919191919196,2.7871149675574308e-5
1,1,2,-3.2727272727272725,-3.9191919191919196,3.025244125673473e-5
1,1,2,-3.191919191919192,-3.9191919191919196,3.288324675408549e-5
1,1,2,-3.1111111111111107,-3.9191919191919196,3.5792861740960543e-5
1,1,2,-3.0303030303030303,-3.9191919191919196,3.9011917118437986e-5
1,1,2,-2.94949494949495,-3.9191919191919196,4.2569905579188235e-5
1,1,2,-2.8686868686868685,-3.9191919191919196,4.649147411884668e-5
1,1,2,-2.787878787878788,-3.9191919191919196,5.079169538068452e-5
1,1,2,-2.7070707070707067,-3.9191919191919196,5.5470836705561155e-5
1,1,2,-2.6262626262626263,-3.9191919191919196,6.050941355701803e-5
1,1,2,-2.545454545454545,-3.9191919191919196,6.586446623452286e-5
1,1,2,-2.4646464646464645,-3.9191919191919196,7.146796629105956e-5
1,1,2,-2.383838383838384,-3.9191919191919196,7.722800247676996e-5
1,1,2,-2.3030303030303028,-3.9191919191919196,8.303293093841909e-5
1,1,2,-2.2222222222222223,-3.9191919191919196,8.875808915351144e-5
1,1,2,-2.141414141414142,-3.9191919191919196,9.427412256654349e-5
1,1,2,-2.0606060606060606,-3.9191919191919196,9.945563640850578e-5
1,1,2,-1.9797979797979794,-3.9191919191919196,0.00010418889430891551
1,1,2,-1.8989898989898988,-3.9191919191919196,0.00010837765224244718
1,1,2,-1.8181818181818183,-3.9191919191919196,0.0001119468062442839
1,1,2,-1.7373737373737372,-3.9191919191919196,0.00011484410985240904
1,1,2,-1.6565656565656566,-3.9191919191919196,0.00011704055613741051
1,1,2,-1.575757575757576,-3.9191919191919196,0.00011853001746917826
1,1,2,-1.4949494949494948,-3.9191919191919196,0.00011932846473751236
1,1,2,-1.4141414141414137,-3.9191919191919196,0.00011947273765756824
1,1,2,-1.3333333333333337,-3.9191919191919196,0.00011901860119703869
1,1,2,-1.2525252525252526,-3.9191919191919196,0.00011803779094131141
1,1,2,-1.1717171717171715,-3.9191919191919196,0.00011661389301152444
1,1,2,-1.0909090909090908,-3.9191919191919196,0.00011483713355290943
1,1,2,-1.0101010101010102,-3.9191919191919196,0.00011279839732273195
1,1,2,-0.9292929292929293,-3.9191919191919196,0.00011058302533254765
1,1,2,-0.8484848484848486,-3.9191919191919196,0.00010826513735465285
1,1,2,-0.767676767676768,-3.9191919191919196,0.00010590333092071769
1,1,2,-0.6868686868686869,-3.9191919191919196,0.0001035385348561076
1,1,2,-0.6060606060606057,-3.9191919191919196,0.00010119447522636524
1,1,2,-0.5252525252525251,-3.9191919191919196,9.888066948698125e-5
1,1,2,-0.44444444444444464,-3.9191919191919196,9.65972430889164e-5
1,1,2,-0.36363636363636354,-3.9191919191919196,9.434037619307103e-5
1,1,2,-0.2828282828282829,-3.9191919191919196,9.210702684356584e-5
1,1,2,-0.2020202020202022,-3.9191919191919196,8.98978169776826e-5
1,1,2,-0.1212121212121211,-3.9191919191919196,8.771753662384151e-5
1,1,2,-0.04040404040404,-3.9191919191919196,8.557343327019635e-5
1,1,2,0.040404040404040664,-3.9191919191919196,8.3472083482122e-5
1,1,2,0.1212121212121211,-3.9191919191919196,8.141600761664368e-5
1,1,2,0.20202020202020243,-3.9191919191919196,7.940119271104505e-5
1,1,2,0.2828282828282829,-3.9191919191919196,7.741635136648053e-5
1,1,2,0.3636363636363633,-3.9191919191919196,7.544418379225917e-5
1,1,2,0.44444444444444464,-3.9191919191919196,7.34643057193181e-5
1,1,2,0.5252525252525251,-3.9191919191919196,7.145704065873884e-5
1,1,2,0.6060606060606064,-3.9191919191919196,6.940708085592448e-5
1,1,2,0.6868686868686869,-3.9191919191919196,6.730613356384174e-5
1,1,2,0.7676767676767673,-3.9191919191919196,6.515402462057348e-5
