x1,x2,x3,x4,x5,x6,x7,x8
-597.399801789664,-564.2598037300578,-579.646302633543,-556.4382427767833,-547.6443742975382,-531.4027328604847,-535.6015048359474,-508.31096571740585
-596.8435604374023,-567.464891915994,-578.4003971465753,-554.5134951176101,-548.5604977328787,-524.2528769083534,-537.719346531355,-500.55884535561034
-591.8311931894,-564.408728891981,-577.6617034305937,-551.4031274886743,-546.107392357562,-528.3836482466913,-534.5149757695924,-505.0638323070067
-587.4656327333586,-559.9275907137644,-574.4831202597514,-542.8165998197203,-544.1299406140807,-516.0393415093339,-526.685444852193,-498.40483005559645
-594.8402578860076,-563.5783253620823,-579.5711304802592,-550.6624582530292,-547.0315782481783,-527.2890557663054,-530.4472402425916,-502.0068671772497
-588.0924466759446,-555.9032487941631,-569.5731759918039,-542.9282618265247,-540.2776280679924,-514.8462791765797,-525.384227280519,-492.36829409267193
-589.2187261846457,-554.195811962,-568.763904633148,-542.323903148305,-533.0279233327915,-511.79562741674386,-528.7569495369123,-495.43692633983653
-595.9387736661301,-571.2643048118738,-571.0057733955616,-551.7031334968482,-545.418535607165,-530.8815111312638,-541.6455521243538,-504.9264944882901
-612.9932244601246,-584.1221296335956,-578.6615297591443,-572.3787183185576,-562.7391625741424,-547.9643617446341,-554.4740397004799,-530.524714088078
-594.9555775645022,-569.6748490952264,-585.4906475854835,-557.8492799624282,-547.7570431084349,-533.2807780323246,-544.3841378095696,-510.99898653763614
-603.5053332557954,-578.5628068280628,-588.969745758363,-563.6528056384078,-559.1346423704548,-537.5481000091988,-550.2758703083967,-509.7558408890824
-598.2542681537328,-563.7085143271458,-575.9799845076949,-548.9709862819849,-551.287261794503,-528.6140612851834,-519.4819509977181,-503.3870927134354
-588.7796053333852,-554.1438304612059,-565.778664411244,-535.9030230789277,-536.469442422361,-513.1402543161303,-517.836979099141,-487.86006276684475
-600.1404902245793,-560.2383097876802,-575.9855711485961,-556.1483544391363,-545.9768799329174,-529.6284180973141,-541.7306608507985,-499.1772885479122
-587.1807180206922,-559.0102699671347,-563.9759874176667,-545.1627728681033,-533.6855253997238,-514.0653140048321,-524.0823802405748,-493.3201852815531
-590.1221746897488,-560.5790474930692,-575.9795215412618,-539.2839737026908,-545.6916099450664,-522.0205429244854,-531.9372472630345,-498.28839469048455
-597.1703310670985,-561.9141668136804,-570.7194882357761,-552.9697486276998,-542.2224589795617,-515.8855154931324,-529.3791122475861,-505.0722363086692
-608.219683683174,-582.2009165761141,-591.189601008834,-568.6400959185893,-557.7666077223099,-545.8185910041652,-532.3047620015402,-518.054618854779
-589.8034534704999,-553.5107108171163,-569.4352637686047,-540.5314959071152,-535.9810753408626,-514.3927241336185,-523.9696007597828,-492.92851402475253
-604.0759118654917,-579.0919490966874,-583.601139218613,-559.0983375983074,-543.7311216236177,-527.6821861037116,-542.7425101106506,-524.7474509861481
