j,var1,var2,y1,y2,f
1,1,2,-3.8383838383838382,-3.9191919191919196,1.8034933373526025e-5
1,1,2,-3.757575757575758,-3.9191919191919196,1.9328701932519286e-5
1,1,2,-3.6767676767676765,-3.9191919191919196,2.0754376668800756e-5
1,1,2,-3.595959595959596,-3.9191919191919196,2.2331514276767883e-5
1,1,2,-3.5151515151515156,-3.9191919191919196,2.40808490947288e-5
1,1,2,-3.4343434343434343,-3.9191919191919196,2.6024217885741557e-5
1,1,2,-3.353535353535354,-3.9191919191919196,2.8184692876574485e-5
1,1,2,-3.2727272727272725,-3.9191919191919196,3.058684218557646e-5
1,1,2,-3.191919191919192,-3.9191919191919196,3.3256905798921635e-5
1,1,2,-3.1111111111111107,-3.9191919191919196,3.622256411647542e-5
1,1,2,-3.0303030303030303,-3.9191919191919196,3.9511930193685e-5
1,1,2,-2.94949494949495,-3.9191919191919196,4.3151452623426695e-5
1,1,2,-2.8686868686868685,-3.9191919191919196,4.716258816877024e-5
1,1,2,-2.787878787878788,-3.9191919191919196,5.1557376647378164e-5
1,1,2,-2.7070707070707067,-3.9191919191919196,5.6333378677326926e-5
1,1,2,-2.6262626262626263,-3.9191919191919196,6.14687463573117e-5
1,1,2,-2.545454545454545,-3.9191919191919196,6.691839854477011e-5
1,1,2,-2.4646464646464645,-3.9191919191919196,7.261228024103359e-5
1,1,2,-2.383838383838384,-3.9191919191919196,7.845644524208e-5
1,1,2,-2.3030303030303028,-3.9191919191919196,8.433722129214132e-5
1,1,2,-2.2222222222222223,-3.9191919191919196,9.012809044098909e-5
1,1,2,-2.141414141414142,-3.9191919191919196,9.569831359554702e-5
1,1,2,-2.0606060606060606,-3.9191919191919196,0.00010092194472328677
1,1,2,-1.9797979797979794,-3.9191919191919196,0.00010568586188844458
1,1,2,-1.8989898989898988,-3.9191919191919196,0.00010989580503763655
1,1,2,-1.8181818181818183,-3.9191919191919196,0.00011348001396321512
1,1,2,-1.7373737373737372,-3.9191919191919196,0.00011639066191373269
1,1,2,-1.6565656565656566,-3.9191919191919196,0.00011860365524559724
1,1,2,-1.575757575757576,-3.9191919191919196,0.0001201174257867665
1,1,2,-1.4949494949494948,-3.9191919191919196,0.00012095116066057978
1,1,2,-1.4141414141414137,-3.9191919191919196,0.00012114267332410916
1,1,2,-1.3333333333333337,-3.9191919191919196,0.0001207459636800986
1,1,2,-1.2525252525252526,-3.9191919191919196,0.00011982846291520663
1,1,2,-1.1717171717171715,-3.9191919191919196,0.00011846792841366423
1,1,2,-1.0909090909090908,-3.9191919191919196,0.00011674887903181385
1,1,2,-1.0101010101010102,-3.9191919191919196,0.00011475838675860477
1,1,2,-0.9292929292929293,-3.9191919191919196,0.00011258110623642168
1,1,2,-0.8484848484848486,-3.9191919191919196,0.00011029373096167321
1,1,2,-0.767676767676768,-3.9191919191919196,0.00010795954801711434
1,1,2,-0.6868686868686869,-3.9191919191919196,0.00010562417594836535
1,1,2,-0.6060606060606057,-3.9191919191919196,0.00010331362455044461
1,1,2,-0.5252525252525251,-3.9191919191919196,0.00010103537395864978
1,1,2,-0.44444444444444464,-3.9191919191919196,9.878235766686407e-5
1,1,2,-0.36363636363636354,-3.9191919191919196,9.65388808250041e-5
1,1,2,-0.2828282828282829,-3.9191919191919196,9.428696940180403e-5
1,1,2,-0.2020202020202022,-3.9191919191919196,9.201162857761317e-5
1,1,2,-0.1212121212121211,-3.9191919191919196,8.970395548258532e-5
1,1,2,-0.04040404040404,-3.9191919191919196,8.736178412366169e-5
1,1,2,0.040404040404040664,-3.9191919191919196,8.49882623760122e-5
1,1,2,0.1212121212121211,-3.9191919191919196,8.258925235255486e-5
1,1,2,0.20202020202020243,-3.9191919191919196,8.017060220068634e-5
1,1,2,0.2828282828282829,-3.9191919191919196,7.773617373866494e-5
1,1,2,0.3636363636363633,-3.9191919191919196,7.528712805288149e-5
1,1,2,0.44444444444444464,-3.9191919191919196,7.282251468998681e-5
1,1,2,0.5252525252525251,-3.9191919191919196,7.034082020098435e-5
1,1,2,0.6060606060606064,-3.9191919191919196,6.78419068786781e-5
1,1,2,0.6868686868686869,-3.9191919191919196,6.532874652462835e-5
1,1,2,0.7676767676767673,-3.9191919191919196,6.280849685226769e-5
1,1,2,0.8484848484848486,-3.9191919191919196,6.02927057445363e-5
1,1,2,0.9292929292929291,-3.9191919191919196,5.7796674263457114e-5
1,1,2,1.0101010101010104,-3.9191919191919196,5.533819312600055e-5
1,1,2,1.0909090909090908,-3.9191919191919196,5.2935954815819184e-5
1,1,2,1.1717171717171722,-3.9191919191919196,5.060793847390734e-5
1,1,2,1.2525252525252526,-3.9191919191919196,4.836999841242602e-5
1,1,2,1.333333333333333,-3.9191919191919196,4.6234799555440524e-5
1,1,2,1.4141414141414144,-3.9191919191919196,4.421116571038935e-5
1,1,2,1.4949494949494948,-3.9191919191919196,4.230385249371368e-5
1,1,2,1.5757575757575761,-3.9191919191919196,4.0513721833856064e-5
1,1,2,1.6565656565656566,-3.9191919191919196,3.883826666486068e-5
1,1,2,1.737373737373737,-3.9191919191919196,3.727240278283322e-5
1,1,2,1.8181818181818183,-3.9191919191919196,3.580941003915788e-5
1,1,2,1.8989898989898988,-3.9191919191919196,3.444187774693563e-5
1,1,2,1.9797979797979801,-3.9191919191919196,3.316250439084561e-5
1,1,2,2.0606060606060606,-3.9191919191919196,3.196462985074832e-5
1,1,2,2.141414141414141,-3.9191919191919196,3.084243816666473e-5
1,1,2,2.2222222222222223,-3.9191919191919196,2.979084613666966e-5
1,1,2,2.3030303030303028,-3.9191919191919196,2.8805165306489078e-5
1,1,2,2.383838383838384,-3.9191919191919196,2.7880670364345432e-5
1,1,2,2.4646464646464645,-3.9191919191919196,2.7012213060989687e-5
1,1,2,2.545454545454546,-3.9191919191919196,2.6193988842811146e-5
1,1,2,2.6262626262626263,-3.9191919191919196,2.5419507216823767e-5
1,1,2,2.7070707070707067,-3.9191919191919196,2.4681756492074573e-5
1,1,2,2.787878787878788,-3.9191919191919196,2.3973507222940267e-5
1,1,2,2.8686868686868685,-3.9191919191919196,2.328767676050087e-5
1,1,2,2.94949494949495,-3.9191919191919196,2.261768020745972e-5
1,1,2,3.0303030303030303,-3.9191919191919196,2.195771340067527e-5
1,1,2,3.1111111111111107,-3.9191919191919196,2.130294070581701e-5
1,1,2,3.191919191919192,-3.9191919191919196,2.0649585049843483e-5
1,1,2,3.2727272727272725,-3.9191919191919196,1.9994934312777806e-5
1,1,2,3.353535353535354,-3.9191919191919196,1.9337285810726667e-5
1,1,2,3.4343434343434343,-3.9191919191919196,1.8675850983236067e-5
1,1,2,3.5151515151515156,-3.9191919191919196,1.8010638582495546e-5
1,1,2,3.595959595959596,-3.9191919191919196,1.734232942207227e-5
1,1,2,3.6767676767676765,-3.9191919191919196,1.6672150907418352e-5
1,1,2,3.757575757575758,-3.9191919191919196,1.6001755983051104e-5
1,1,2,3.8383838383838382,-3.9191919191919196,1.5333108932143037e-5
1,1,2,3.9191919191919196,-3.9191919191919196,1.4668379412802287e-5
1,1,2,4.0,-3.9191919191919196,1.4009845823103564e-5
1,1,2,-4.0,-3.8383838383838382,1.656196162977679e-5
1,1,2,-3.9191919191919196,-3.8383838383838382,1.7732262834562653e-5
1,1,2,-3.8383838383838382,-3.8383838383838382,1.9009410730278568e-5
1,1,2,-3.757575757575758,-3.8383838383838382,2.0412162545576873e-5
1,1,2,-3.6767676767676765,-3.8383838383838382,2.196193012478012e-5
1,1,2,-3.595959595959596,-3.8383838383838382,2.3682431243675865e-5
1,1,2,-3.5151515151515156,-3.8383838383838382,2.559931362096404e-5
1,1,2,-3.4343434343434343,-3.8383838383838382,2.7739868808862655e-5
1,1,2,-3.353535353535354,-3.8383838383838382,3.0132920117248146e-5
1,1,2,-3.2727272727272725,-3.8383838383838382,3.280887736304093e-5
1,1,2,-3.191919191919192,-3.8383838383838382,3.579981354629452e-5
1,1,2,-3.1111111111111107,-3.8383838383838382,3.913927009667464e-5
1,1,2,-3.0303030303030303,-3.8383838383838382,4.286139073746813e-5
1,1,2,-2.94949494949495,-3.8383838383838382,4.69989741564664e-5
1,1,2,-2.8686868686868685,-3.8383838383838382,5.158016100807043e-5
1,1,2,-2.787878787878788,-3.8383838383838382,5.6623736926243026e-5
1,1,2,-2.7070707070707067,-3.8383838383838382,6.213340394293816e-5
1,1,2,-2.6262626262626263,-3.8383838383838382,6.809177072729951e-5
1,1,2,-2.545454545454545,-3.8383838383838382,7.445513077680513e-5
1,1,2,-2.4646464646464645,-3.8383838383838382,8.115022377821408e-5
1,1,2,-2.383838383838384,-3.8383838383838382,8.807402166435829e-5
1,1,2,-2.3030303030303028,-3.8383838383838382,9.509712454624512e-5
1,1,2,-2.2222222222222223,-3.8383838383838382,0.00010207066455466842
1,1,2,-2.141414141414142,-3.8383838383838382,0.00010883586765164013
1,1,2,-2.0606060606060606,-3.8383838383838382,0.00011523484244911832
1,1,2,-1.9797979797979794,-3.8383838383838382,0.00012112095379346092
1,1,2,-1.8989898989898988,-3.8383838383838382,0.00012636737945270144
1,1,2,-1.8181818181818183,-3.8383838383838382,0.00013087304531047889
1,1,2,-1.7373737373737372,-3.8383838383838382,0.00013456584328122942
1,1,2,-1.6565656565656566,-3.8383838383838382,0.00013740357846856696
1,1,2,-1.575757575757576,-3.8383838383838382,0.00013937330117877705
1,1,2,-1.4949494949494948,-3.8383838383838382,0.000140489581148942
1,1,2,-1.4141414141414137,-3.8383838383838382,0.0001407920500495436
1,1,2,-1.3333333333333337,-3.8383838383838382,0.0001403423558636942
1,1,2,-1.2525252525252526,-3.8383838383838382,0.00013922060050624053
1,1,2,-1.1717171717171715,-3.8383838383838382,0.00013752130048876501
1,1,2,-1.0909090909090908,-3.8383838383838382,0.00013534883182153684
1,1,2,-1.0101010101010102,-3.8383838383838382,0.00013281221658347005
1,1,2,-0.9292929292929293,-3.8383838383838382,0.00013001912545871394
1,1,2,-0.8484848484848486,-3.8383838383838382,0.00012706924914740851
1,1,2,-0.767676767676768,-3.8383838383838382,0.00012404770283122818
1,1,2,-0.6868686868686869,-3.8383838383838382,0.0001210196224419301
1,1,2,-0.6060606060606057,-3.8383838383838382,0.00011802725015091469
1,1,2,-0.5252525252525251,-3.8383838383838382,0.00011509038811903802
1,1,2,-0.44444444444444464,-3.8383838383838382,0.00011221021891494783
1,1,2,-0.36363636363636354,-3.8383838383838382,0.00010937550803863128
1,1,2,-0.2828282828282829,-3.8383838383838382,0.00010656954467459079
1,1,2,-0.2020202020202022,-3.8383838383838382,0.00010377610377404492
1,1,2,-0.1212121212121211,-3.8383838383838382,0.00010098320994034096
1,1,2,-0.04040404040404,-3.8383838383838382,9.818430489468004e-5
1,1,2,0.040404040404040664,-3.8383838383838382,9.53772373324146e-5
1,1,2,0.1212121212121211,-3.8383838383838382,9.256204296799303e-5
1,1,2,0.20202020202020243,-3.8383838383838382,8.973864142544035e-5
1,1,2,0.2828282828282829,-3.8383838383838382,8.69053687259395e-5
1,1,2,0.3636363636363633,-3.8383838383838382,8.405881724239553e-5
1,1,2,0.44444444444444464,-3.8383838383838382,8.11949434478373e-5
1,1,2,0.5252525252525251,-3.8383838383838382,7.831099057038403e-5
1,1,2,0.6060606060606064,-3.8383838383838382,7.540756439720571e-5
1,1,2,0.6868686868686869,-3.8383838383838382,7.249022230793849e-5
1,1,2,0.7676767676767673,-3.8383838383838382,6.957014018456877e-5
1,1,2,0.8484848484848486,-3.8383838383838382,6.666371513532006e-5
1,1,2,0.9292929292929291,-3.8383838383838382,6.379124226343169e-5
1,1,2,1.0101010101010104,-3.8383838383838382,6.097499513044435e-5
1,1,2,1.0909090909090908,-3.8383838383838382,5.823711040118896e-5
1,1,2,1.1717171717171722,-3.8383838383838382,5.5597639658050455e-5
1,1,2,1.2525252525252526,-3.8383838383838382,5.3073026603748804e-5
1,1,2,1.333333333333333,-3.8383838383838382,5.0675143979982896e-5
1,1,2,1.4141414141414144,-3.8383838383838382,4.841091777434718e-5
1,1,2,1.4949494949494948,-3.8383838383838382,4.6282491762139875e-5
1,1,2,1.5757575757575761,-3.8383838383838382,4.428783929607915e-5
1,1,2,1.6565656565656566,-3.8383838383838382,4.2421699041541014e-5
1,1,2,1.737373737373737,-3.8383838383838382,4.067668765215061e-5
1,1,2,1.8181818181818183,-3.8383838383838382,3.904442566458422e-5
1,1,2,1.8989898989898988,-3.8383838383838382,3.751651249744773e-5
